complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0001,NA,NA,NA,NA,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0002,49788591,latino,male,9807 SUPP POLICE SERVICE,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0003,16617433,black,male,1900 19TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0004,42698976,white,male,5200 TRAFFIC DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0005,10551607,black,female,7700 AIRPORT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0006,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
16-0006,34517423,white,female,1500 15TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
16-0007,75233613,other,female,4921 RADIO ROOM,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0008,80038415,black,female,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0008,96659013,black,male,1900 19TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0008,80038415,black,female,1900 19TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0008,96914445,black,female,1900 19TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0008,50519525,other,female,4922 RADIO ROOM,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0008,96659013,black,male,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0009,68604909,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0009,66221391,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0010,75370256,white,male,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
16-0010,94354974,latino,female,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
16-0011,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
16-0012,64290544,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0012,68399946,white,male,1800 18TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0012,68399946,white,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0012,68399946,white,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0012,64290544,black,male,1800 18TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0012,64290544,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0013,NA,NA,NA,NA,Criminal Allegation,No Sustained Findings,Not Applicable
16-0014,46250306,white,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0014,74387323,latino,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
