complaint_id,date_received,district_occurrence,general_cap_classification,summary
16-0001,2016-01-19,1700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-2-16 at approximately 5:03am,, the complainant, an off-duty Philadelphia Police officer, was involved in an incident with several on-duty Philadelphia Police officers assigned to the 17th District."
16-0002,2016-01-19,2400,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-2-16, they were harassed by officers assigned to the 24th District."
16-0003,2016-01-19,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-29-15 at 6:45pm, they were improperly issued traffic citations by officers assigned to the 19th District."
16-0004,2016-01-11,0700,VERBAL ABUSE,"According to the complainant, on 1-3-16 at 8:05pm,, they were verbally abused by an officer assigned to the Traffic Unit within the confines of the 7th district."
16-0005,2016-01-11,7700,VERBAL ABUSE,"According to the complainant, on 12-24- they were verbally abused by an officer assigned to the Airport Unit."
16-0006,2016-01-11,1500,LACK OF SERVICE,"According to the complainant, on 7-15-15 at 7:00pm, they did not receive proper service from officers assigned to the 15th District."
16-0007,2016-01-11,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-19-15 at 6:30am, they were treated unprofessionally by an unidentified police dispatcher."
16-0008,2016-01-11,1900,LACK OF SERVICE,"According to the complainant, on 12-26-15 at 9:30am, they did not receive proper service from an unidentified 911 call taker, and officers assigned to the 19th District."
16-0009,2016-01-11,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-30-15 and 12-31-15 they were treated unprofessionally by officers assigned to the 12th District."
16-0010,2016-01-13,1500,LACK OF SERVICE,"According to the complainant, on 8-15-15 at 10:00pm, they did not receive proper service from two detectives assigned to Northeast Detective Division."
16-0011,2016-01-11,2200,LACK OF SERVICE,"According to the complainant, on 12-2-15 at 11:13am, they did not receive proper service from officers assigned to the 22nd District."
16-0012,2016-01-13,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-15 at 6:20pm, officers assigned to the 18th District did not follow proper police procedure."
16-0013,2016-01-13,1500,CRIMINAL ALLEGATION,"According to the complainant, on 1-6-16 at 2:55pm, property is missing after officers searched their home. This incident occurred within the confines of the 15th District."
16-0014,2016-01-13,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-4-15 at 6:15pm they were harassed by officers assigned to the 24th District."
16-0015,2016-01-13,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-15 at 7:00pm, they were harassed by officers assigned to the 35th District."
16-0016,2016-01-15,0300,PHYSICAL ABUSE,"According to the complainant, on 1-8-16 at 4:30am, they were physically and verbally abused by officers assigned to the 3rd District."
16-0017,2016-01-19,1800,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-8-16 at 1:20pm,, they were verbally abused by officers assigned to the 18th District."
16-0018,2016-01-15,1500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-2-15, they were verbally abused and did not receive proper service from a detective assigned to Northeast Detective Division."
16-0019,2016-01-15,2200,CRIMINAL ALLEGATION,"According to the complainant, on 12-8-15 at 11:00am, property was missing after unidentified officers confiscated items from their residence. This incident happened within the confines of the 22nd District."
16-0020,2016-01-15,0700,LACK OF SERVICE,"According to the complainant, on 12-30-15 at 6:30pm, they did not receive proper service from an officer assigned to the 7th District."
16-0021,2016-01-15,2500,PHYSICAL ABUSE,"According to the complainant, on 12-1-15 at 2:00am,, their family members were physically abused by officers assigned to the 25th District."
16-0022,2016-01-15,0600,LACK OF SERVICE,"According to the complainant, on 12-13-15 at 6:30pm, they did not receive proper service from officers assigned to the 6th District."
16-0023,2016-01-15,3500,LACK OF SERVICE,"According to the complainant, on 12-14-15 at 4:21pm, they did not receive proper service from officers assigned to the 35th and 6th Districts."
16-0024,2016-01-15,1700,LACK OF SERVICE,"According to the complainant, on 12-10-15 at 9:30am,, they did not receive proper service from an officer assigned to the 17th District."
16-0025,2016-01-15,0800,LACK OF SERVICE,"According to the complainant, on 1-2-16 at 4:05pm, they did not receive proper service from officers assigned to the 8th District."
16-0026,2016-01-15,0800,HARASSMENT,"According to the complainant, on 1-5-16 at 6:15pm, they were threatened by an off-duty officer assigned to the Center City District. This incident took place with in the confines of the 8th District."
16-0027,2016-01-15,0800,PHYSICAL ABUSE,"According to the complainant, on 1-7-16 at 11:00pm, they were physically and verbally abused and falsely arrested by an officer assigned to the 8th District."
16-0028,2016-01-14,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-8-16 at 12:30am, they were physically abused and treated unprofessionally by officers assigned to the 35th District."
16-0029,2016-01-20,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-11-16 at 4:50pm, their family member was improperly stopped by an officer assigned to the 15th District."
16-0030,2016-01-20,3900,LACK OF SERVICE,"According to the complainant, on 12-16-2015, they did not receive proper service from officers assigned to the 39th District."
16-0031,2016-02-04,2500,NON-INVESTIGATORY INCIDENT,"According to the complainant, in 2004, they did not receive proper service from an officer assigned to the 17th District. This incident occurred in the confines of the 3rd District."
16-0032,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 12-24- at 6:00pm, they did not receive proper service from officers assigned to the 12th District."
16-0033,2016-01-28,1700,LACK OF SERVICE,"According to the complainant, on several dates they did not receive proper service from officers assigned to the 3rd District and South Detective Division."
16-0034,2016-01-22,3900,VERBAL ABUSE,"According to the complainant, on 1-17-16 at 1:00pm, they were verbally abused by officers assigned to the 39th District."
16-0035,2016-01-27,2200,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 1:50pm, they did not receive proper service from officers and supervisors assigned to the 22nd District."
16-0036,2016-01-22,1200,LACK OF SERVICE,"According to the complainant, on 1-18-16 at 10:55pm, they did not receive proper service from officers assigned to the 12th District."
16-0037,2016-01-27,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 01-19-16 at 1:18pm, they were harassed by officers assigned to the 18th District during a vehicle investigation."
16-0038,2016-01-27,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, officers assigned to the 7th and 8th Districts are not following proper police procedures."
16-0039,2016-01-27,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-16 at 9:45am, they were harassed by officers assigned to the 3rd District."
16-0040,2016-01-27,N/A,VERBAL ABUSE,"According to the complainant, on 1-14-16 at 5:45pm, they were harassed by a off-duty officer assigned to the 3rd District."
16-0041,2016-01-27,1200,HARASSMENT,"According to the complainant, in the fall of 2015, an unidentified officer acted inappropriately. This incident occurred in the confines of the 12th District."
16-0042,2016-01-27,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-2 at 10:00pm, their residence was improperly entered and searched by officers assigned to the 35th District."
16-0043,2016-01-27,0500,VERBAL ABUSE,"According to the complainant, on 1-14-16 at 6:30pm, they were verbally abused by officers assigned to the 5th District."
16-0044,2016-01-28,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-14-16 at 11:30pm, their vehicle was improperly searched by officers assigned to the 15th District."
16-0045,2016-02-04,1400,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-19-16 at 12:00pm, they were improperly searched, falsely arrested by officers assigned to the 14th District."
16-0046,2016-02-04,1500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 8-24- at 10:45am, officers assigned to the 15th District did not follow proper police procedure."
16-0047,2016-01-28,3900,LACK OF SERVICE,"According to the complainant, on 12-31-15 at 6:59am, they did not receive proper service from a sergeant and an officer assigned to the 39th District."
